key_id,player_id,family_name,given_name,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
3,P-03484,Aaronson,Brenden,2000-10-22,False,False,False,True,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson
5,P-03523,Abalo,Jean-Paul,1975-06-26,False,True,False,False,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo
9,P-75462,Abate,Ignazio,1986-11-12,False,True,False,False,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate
13,P-81393,Abbiati,Christian,1977-07-08,True,False,False,False,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati
14,P-86290,Abbondanzieri,Roberto,1972-08-19,True,False,False,False,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri
17,P-29161,Abdel Shafy,Mohamed,1985-07-01,False,True,False,False,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy
21,P-64924,Abdi,Ali,1993-12-20,False,True,False,False,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer)
23,P-94880,Abdoun,Djamel,1986-02-14,False,False,True,False,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun
24,P-21820,Abdul Samed,Salis,2000-03-26,False,False,True,False,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed
25,P-77199,Abdulghani,Hussein,1977-01-21,False,True,False,False,2,"2002, 2006",https://en.wikipedia.org/wiki/Hussein_Sulaimani
27,P-08125,Abdulhamid,Saud,1999-07-18,False,True,False,False,1,2022,https://en.wikipedia.org/wiki/Saud_Abdulhamid
29,P-75724,Abdullahi,Shehu,1993-03-12,False,True,False,False,1,2018,https://en.wikipedia.org/wiki/Shehu_Abdullahi
31,P-00148,Abe,Yuki,1981-09-06,False,False,True,False,1,2010,https://en.wikipedia.org/wiki/Yuki_Abe
33,P-80505,Abedzadeh,Amir,1993-04-26,True,False,False,False,2,"2018, 2022",https://en.wikipedia.org/wiki/Amir_Abedzadeh
42,P-04469,Abidal,Eric,1979-09-11,False,True,False,False,2,"2006, 2010",https://en.wikipedia.org/wiki/Eric_Abidal
46,P-53452,Aboubakar,Vincent,1992-01-22,False,False,False,True,3,"2010, 2014, 2022",https://en.wikipedia.org/wiki/Vincent_Aboubakar
47,P-48295,Aboukhlal,Zakaria,2000-02-18,False,False,True,False,1,2022,https://en.wikipedia.org/wiki/Zakaria_Aboukhlal
52,P-91786,Abreu,Marco,1974-12-08,False,True,False,False,1,2006,https://en.wikipedia.org/wiki/Marco_Abreu
53,P-64372,Abreu,Sebastián,1976-10-17,False,False,False,True,2,"2002, 2010",https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Abreu
63,P-29870,Achilier,Gabriel,1985-03-24,False,True,False,False,1,2014,https://en.wikipedia.org/wiki/Gabriel_Achilier
66,P-44943,Ačimovič,Milenko,1977-02-15,False,False,False,True,1,2002,https://en.wikipedia.org/wiki/Milenko_A%C4%8Dimovi%C4%8D
67,P-65320,Acosta,Jhonny,1983-07-21,False,True,False,False,2,"2014, 2018",https://en.wikipedia.org/wiki/Jhonny_Acosta
68,P-86410,Acosta,Kellyn,1995-07-24,False,False,True,False,1,2022,https://en.wikipedia.org/wiki/Kellyn_Acosta
70,P-63370,Acquah,Afriyie,1992-01-05,False,False,True,False,1,2014,https://en.wikipedia.org/wiki/Afriyie_Acquah
73,P-73712,Acuña,Marcos,1991-10-28,False,True,True,False,2,"2018, 2022",https://en.wikipedia.org/wiki/Marcos_Acu%C3%B1a
74,P-17884,Acuña,Roberto,1972-03-25,False,False,True,False,3,"1998, 2002, 2006",https://en.wikipedia.org/wiki/Roberto_Acu%C3%B1a
80,P-40630,Adams,Stephen,1989-09-28,True,False,False,False,1,2014,https://en.wikipedia.org/wiki/Stephen_Adams_(footballer)
82,P-14151,Adams,Tyler,1999-02-14,False,False,True,False,1,2022,https://en.wikipedia.org/wiki/Tyler_Adams
85,P-77757,Addo,Eric,1978-11-12,False,True,False,False,1,2006,https://en.wikipedia.org/wiki/Eric_Addo
86,P-23846,Addo,Otto,1975-06-09,False,False,False,True,1,2006,https://en.wikipedia.org/wiki/Otto_Addo
87,P-56284,Addy,Lee,1985-09-26,False,True,False,False,1,2010,https://en.wikipedia.org/wiki/Lee_Addy
88,P-48772,Adebayor,Emmanuel,1984-02-26,False,False,False,True,1,2006,https://en.wikipedia.org/wiki/Emmanuel_Adebayor
89,P-55821,Adekugbe,Sam,1995-01-16,False,True,False,False,1,2022,https://en.wikipedia.org/wiki/Sam_Adekugbe
